term,coef,OR,OR_CI_lo,OR_CI_hi,p,model,n,AIC,subset
Intercept,-1.0875693193120015,0.3370347226687855,0.32625493529598426,0.34817068493192943,0.0,main,684026,497372.89091157424,Dedup
C(gender_label)[T.Male],1.3406787567392038,3.821636586819116,3.7515037303854935,3.893080548853328,0.0,main,684026,497372.89091157424,Dedup
C(performance_category)[T.Recreational],-1.235238863321866,0.2907653009066262,0.28575956758871274,0.29585872110852235,0.0,main,684026,497372.89091157424,Dedup
C(performance_category)[T.Intermediate],-2.180001930853779,0.11304131237399398,0.11067647236033598,0.11545668226243866,0.0,main,684026,497372.89091157424,Dedup
C(performance_category)[T.Advanced],-2.737543963390636,0.06472912893645708,0.06262810895755143,0.06690063300030856,0.0,main,684026,497372.89091157424,Dedup
C(performance_category)[T.Competitive (<3h)],-4.0048380888246635,0.018227240213660695,0.0165936443633331,0.0200216588069479,0.0,main,684026,497372.89091157424,Dedup
age_mid,-0.013016428758945946,0.9870679185861823,0.9863995607230314,0.9877367293106796,1.9028697525334e-310,main,684026,497372.89091157424,Dedup
Intercept,-1.3036925098936207,0.27152732234219057,0.2537002875833579,0.2906070287921746,7.90174702069275e-310,interaction,684026,497324.0309121072,Dedup
C(gender_label)[T.Male],1.6060656900583317,4.983167285900358,4.621221592263665,5.373461476255206,0.0,interaction,684026,497324.0309121072,Dedup
C(performance_category)[T.Recreational],-1.2359821242117812,0.29054926672514236,0.28554413210630497,0.2956421333956521,0.0,interaction,684026,497324.0309121072,Dedup
C(performance_category)[T.Intermediate],-2.182041615160637,0.11281097876689493,0.11044877818761918,0.11522370042633376,0.0,interaction,684026,497324.0309121072,Dedup
C(performance_category)[T.Advanced],-2.7410184706180005,0.06450461736953965,0.06240944504067881,0.06667012756288178,0.0,interaction,684026,497324.0309121072,Dedup
C(performance_category)[T.Competitive (<3h)],-4.011059621691424,0.01811419087434539,0.01649039482287981,0.019897880830418813,0.0,interaction,684026,497324.0309121072,Dedup
age_mid,-0.007736660058283874,0.9922931908643914,0.9907091816128558,0.9938797327313054,2.276289464028006e-21,interaction,684026,497324.0309121072,Dedup
C(gender_label)[T.Male]:age_mid,-0.006415368524582875,0.9936051660163883,0.9918575522226101,0.9953558590365789,9.158693567235993e-13,interaction,684026,497324.0309121072,Dedup
