term,coef,OR,OR_CI_lo,OR_CI_hi,p,model,n,AIC,subset
Intercept,-1.0617176453627222,0.3458612328968234,0.335798325484637,0.3562256966239203,0.0,main,855061,623955.3220081616,Full
C(gender_label)[T.Male],1.3551658850882922,3.877404106809795,3.8117757807151382,3.9441623727104016,0.0,main,855061,623955.3220081616,Full
C(performance_category)[T.Recreational],-1.2224322059864459,0.2945129788727294,0.290013014475152,0.299082766618118,0.0,main,855061,623955.3220081616,Full
C(performance_category)[T.Intermediate],-2.2037687675208337,0.11038635293262011,0.108334141728677,0.11247743988485813,0.0,main,855061,623955.3220081616,Full
C(performance_category)[T.Advanced],-2.808826788095549,0.060275667056227604,0.05851889902062693,0.06208517418949688,0.0,main,855061,623955.3220081616,Full
C(performance_category)[T.Competitive (<3h)],-4.105687920323182,0.01647867892020077,0.015104217233118038,0.017978214611457384,0.0,main,855061,623955.3220081616,Full
age_mid,-0.013379412021602225,0.9867096944712427,0.9861138417148262,0.9873059072677401,0.0,main,855061,623955.3220081616,Full
Intercept,-1.3167385252855082,0.2680079793325714,0.2514911647809716,0.2856095443690224,0.0,interaction,855061,623877.884748426,Full
C(gender_label)[T.Male],1.6632997764402249,5.2766940590511,4.919657317890989,5.659642205478129,0.0,interaction,855061,623877.884748426,Full
C(performance_category)[T.Recreational],-1.2233852618060037,0.29423242527713384,0.2897334673987501,0.29880124261004726,0.0,interaction,855061,623877.884748426,Full
C(performance_category)[T.Intermediate],-2.2062642232488194,0.11011123209461014,0.10806190142640607,0.1121994271186344,0.0,interaction,855061,623877.884748426,Full
C(performance_category)[T.Advanced],-2.8131313354202097,0.060016765222225675,0.05826611247166783,0.06182001775888605,0.0,interaction,855061,623877.884748426,Full
C(performance_category)[T.Competitive (<3h)],-4.113117279831115,0.016356706539644897,0.014992121689751203,0.017845496078580863,0.0,interaction,855061,623877.884748426,Full
age_mid,-0.007204462792321589,0.9928214271380849,0.9913505809679288,0.9942944555720108,1.6620646968736673e-21,interaction,855061,623877.884748426,Full
C(gender_label)[T.Male]:age_mid,-0.007378515766213811,0.9926486386537585,0.9910419568011091,0.9942579252665373,4.356472491190658e-19,interaction,855061,623877.884748426,Full
